book_order,book,chapter,verse,reference,syriac
1,Genesis,2,15,Genesis 2:15,ודבר יי אלהים ית אדם ואשריה בגינתא דעדן למפלחה ולמטרה:
1,Genesis,2,16,Genesis 2:16,ופקיד יי אלהים על אדם למימר מכל אילן גינתא מיכל תיכול:
1,Genesis,2,17,Genesis 2:17,ומאילן דאכלין פירוהי חכימין בין טב לביש לא תיכול מנה ארי ביומא דתיכול מנה מימת תמות:
1,Genesis,2,18,Genesis 2:18,ואמר יי אלהים לא תקין למהוי אדם בלחודוהי אעבד לה סמך לקבלה:
1,Genesis,2,19,Genesis 2:19,וברא יי אלהים מן ארעא כל חות ברא וית כל עופא דשמיא ואיתה לות אדם למחזי מה יקרי לה וכל די הוה קרי לה אדם נפשא חיתא הוא שמה:
1,Genesis,2,20,Genesis 2:20,וקרא אדם שמהן לכל בעירא ולעופא דשמיא ולכל חות ברא ולאדם לא אשכח סמך לקבלה:
1,Genesis,2,21,Genesis 2:21,ורמא יי אלהים שינתא על אדם ודמך ונסיב חדא מעלעוהי ומלי בשרא תחותה:
1,Genesis,2,22,Genesis 2:22,ובנא יי אלהים ית עלעא דנסיב מן אדם לאתתא ואיתה לות אדם:
1,Genesis,2,23,Genesis 2:23,ואמר האדם הדא זמנא גרמא מגרמי ובסרא מבסרי לדא יתקרי אתתא ארי מבעלא נסיבא דא:
1,Genesis,2,24,Genesis 2:24,על כן ישבוק גבר בית משכבי אבוהי ואמה וידבק באתתה ויהון לבסרא חד:
1,Genesis,2,25,Genesis 2:25,והוו תרויהון ערטילאין אדם ואתתה ולא מתכלמין:
1,Genesis,3,1,Genesis 3:1,וחויא הוה חכים מכל חות ברא די עבד יי אלהים ואמר לאתתא בקושטא ארי אמר יי לא תיכלון מכל אילן גינתא:
1,Genesis,3,2,Genesis 3:2,ואמרת אתתא לחויא מפירי אילן גינתא ניכול:
1,Genesis,3,3,Genesis 3:3,ומפירי אילנא די במציעות גינתא אמר יי לא תיכלון מנה ולא תקרבון בה דילמא תמותון:
1,Genesis,3,4,Genesis 3:4,ואמר חויא לאיתתא לא מות תמותון:
